2008,4,1,100000
2008,4,2,100093
2008,4,3,100134
2008,4,4,100125
2008,4,7,100137
2008,4,8,100167
2008,4,9,101234
2008,4,10,99421
2008,4,11,101461
2008,4,14,102332
2008,4,15,100789
2008,4,16,100094
2008,4,17,99776
2008,4,18,105641
2008,4,21,105515
2008,4,22,105381
2008,4,23,105282
2008,4,24,105796
2008,4,25,105352
2008,4,28,104060
2008,4,29,103266
2008,4,30,102014
2008,5,1,99956
2008,5,2,99530
2008,5,5,99208
2008,5,6,97418
2008,5,7,102522
2008,5,8,103910
2008,5,9,109987
2008,5,12,113898
2008,5,13,113156
2008,5,14,113007
2008,5,15,113478
2008,5,16,113618
2008,5,19,113989
2008,5,20,114988
2008,5,21,115824
2008,5,22,114427
2008,5,23,115602
2008,5,27,116833
2008,5,28,119911
2008,5,29,119169
2008,5,30,118367
2008,6,2,117567
2008,6,3,116772
2008,6,4,116335
2008,6,5,117102
2008,6,6,119289
2008,6,9,121203
2008,6,10,118812
2008,6,11,119643
2008,6,12,118572
2008,6,13,118721
2008,6,16,119701
2008,6,17,122652
2008,6,18,123106
2008,6,19,121194
2008,6,20,121116
2008,6,23,124218
2008,6,24,123709
2008,6,25,124075
2008,6,26,125381
2008,6,27,126610
2008,6,30,128230
2008,7,1,127427
2008,7,2,125210
2008,7,3,124777
2008,7,7,125426
2008,7,8,123905
2008,7,9,125733
2008,7,10,129565
2008,7,11,131320
2008,7,14,133086
2008,7,15,134767
2008,7,16,132359
2008,7,17,130005
2008,7,18,130120
2008,7,21,128177
2008,7,22,125786
2008,7,23,122197
2008,7,24,123736
2008,7,25,124576
2008,7,28,129635
2008,7,29,128193
2008,7,30,128895
2008,7,31,128288
2008,8,1,127378
2008,8,4,127727
2008,8,5,121241
2008,8,6,123179
2008,8,7,131345
2008,8,8,131764
2008,8,11,133119
2008,8,12,135831
2008,8,13,137378
2008,8,14,136335
2008,8,15,137136
2008,8,18,137703
2008,8,19,139917
2008,8,20,139255
2008,8,21,141396
2008,8,22,140983
2008,8,25,140536
2008,8,26,140110
2008,8,27,140397
2008,8,28,139739
2008,8,29,137731
2008,9,2,136752
2008,9,3,135263
2008,9,4,133986
2008,9,5,130721
2008,9,8,134074
2008,9,9,138497
2008,9,10,139174
2008,9,11,141098
2008,9,12,151053
2008,9,15,159786
2008,9,16,163006
2008,9,17,163247
2008,9,18,164997
2008,9,19,163164
2008,9,22,159610
2008,9,23,158354
2008,9,24,159129
2008,9,25,161020
2008,9,26,160159
2008,9,29,156723
2008,9,30,157061
2008,10,1,153882
2008,10,2,150512
2008,10,3,149251
2008,10,6,147975
2008,10,7,140052
2008,10,8,138599
2008,10,9,131941
2008,10,10,130951
2008,10,13,137411
2008,10,14,134648
2008,10,15,128006
2008,10,16,130117
2008,10,17,128551
2008,10,20,130937
2008,10,21,129200
2008,10,22,126697
2008,10,23,128105
2008,10,24,127413
2008,10,27,125009
2008,10,28,134146
2008,10,29,134160
2008,10,30,135485
2008,10,31,138510
2008,11,3,136472
2008,11,4,141677
2008,11,5,139408
2008,11,6,137645
2008,11,7,138835
2008,11,10,138337
2008,11,11,133684
2008,11,12,129586
2008,11,13,135983
2008,11,14,131354
2008,11,17,130451
2008,11,18,131320
2008,11,19,126589
2008,11,20,122169
2008,11,21,124531
2008,11,24,127628
2008,11,25,133295
2008,11,26,135550
2008,11,28,138129
2008,12,1,129548
2008,12,2,132883
2008,12,3,135263
2008,12,4,133652
2008,12,5,136242
2008,12,8,137578
2008,12,9,137657
2008,12,10,140956
2008,12,11,137511
2008,12,12,138641
2008,12,15,137032
2008,12,16,141919
2008,12,17,140231
2008,12,18,136641
2008,12,19,137379
2008,12,22,135148
2008,12,23,134086
2008,12,24,135444
2008,12,26,136979
2008,12,29,135873
2008,12,30,138910
